Date,Open,High,Low,Close,Volume
14-Oct-16,200.66,201.43,196.3,196.51,4269850
13-Oct-16,200.5,200.9,197.05,200.24,2495413
12-Oct-16,200.95,203.88,200.42,201.51,1970689
11-Oct-16,201.85,202.2,198.31,200.1,2328422
10-Oct-16,201.35,204.14,199.66,200.95,3316297
07-Oct-16,201,201.32,195.8,196.61,3493018
06-Oct-16,202.46,204.21,200.21,201,4703402
05-Oct-16,212.24,213.15,208.12,208.46,1877534
04-Oct-16,213.1,213.32,208.82,211.41,3541481
03-Oct-16,212.3,215.67,208.25,213.7,5999892
30-Sep-16,202.21,204.98,199.55,204.03,2586273
29-Sep-16,205.6,207.33,200.58,200.7,2727029
28-Sep-16,207.51,208.25,205.26,206.27,2088374
27-Sep-16,209.65,209.98,204.61,205.81,3373180
26-Sep-16,206.5,211,206.5,208.99,2394358
23-Sep-16,205.99,210.18,205.67,207.45,2905229
22-Sep-16,206.4,207.28,203,206.43,2382902
21-Sep-16,206.37,207,201.56,205.22,2633503
20-Sep-16,206.85,207.75,203.91,204.64,2410488
19-Sep-16,207,209.43,205,206.34,2299498
16-Sep-16,200.42,205.7,199,205.4,3107808
15-Sep-16,196.49,202.52,196.4,200.42,3085115
14-Sep-16,195.75,197.92,194.86,196.41,2259231
13-Sep-16,197.06,198.49,193.45,196.05,3589379
12-Sep-16,195,201.37,194.1,198.3,3715161
09-Sep-16,199.09,199.92,193.7,194.47,3756992
08-Sep-16,199.55,199.89,196.36,197.36,3377946
07-Sep-16,205.5,206.5,200.71,201.71,3640923
06-Sep-16,199.02,203.25,199,202.83,4390572
02-Sep-16,202.33,203.2,196.2,197.78,5977413
01-Sep-16,209.01,211.1,200.5,200.77,7943138
31-Aug-16,210.43,212.6,208.65,212.01,3276548
30-Aug-16,216.11,216.11,210.52,211.34,3168862
29-Aug-16,220.15,220.4,215,215.2,3266334
26-Aug-16,222.14,222.86,218.82,219.99,2238992
25-Aug-16,223.11,223.8,220.77,220.96,1762519
24-Aug-16,227.05,227.15,222.22,222.62,2570693
23-Aug-16,224.32,228.49,222.8,224.84,4784418
22-Aug-16,224.17,225.11,222.68,222.93,2065493
19-Aug-16,223.54,225.17,222.53,225,1659530
18-Aug-16,223.82,225.66,222.29,223.51,1714467
17-Aug-16,224.33,224.83,222.8,223.24,1787127
16-Aug-16,225.49,227.19,223.41,223.61,2267147
15-Aug-16,226.02,229.5,224.93,225.59,2034328
12-Aug-16,225.41,226.65,224.04,225.61,1813540
11-Aug-16,226.17,227.57,223.41,224.91,1880936
10-Aug-16,228.24,229.87,224.62,225.65,2338301
09-Aug-16,226.82,231.54,226.65,229.08,2207833
08-Aug-16,228,229.6,226.09,226.16,2263584
05-Aug-16,230,232,227.4,230.03,3205215
04-Aug-16,225.69,230.86,222.05,230.61,4146997
03-Aug-16,227.37,229.7,224.21,225.79,3887759
02-Aug-16,229.37,229.87,221.4,227.2,3934432
01-Aug-16,235.5,236.63,229.38,230.01,4016284
29-Jul-16,230.7,235.28,230.24,234.79,3070813
28-Jul-16,227.95,230.76,226.6,230.61,2419059
27-Jul-16,229.34,233.36,226.92,228.49,2889007
26-Jul-16,227.69,230,225.3,229.51,3430042
25-Jul-16,222.27,231.39,221.37,230.01,4490683
22-Jul-16,221.99,224.5,218.88,222.27,2579692
21-Jul-16,226,227.85,219.1,220.5,4428651
20-Jul-16,226.47,229.8,225,228.36,2568498
19-Jul-16,225,229.1,224.75,225.26,3115065
18-Jul-16,219.64,227.09,218.3,226.25,3412055
15-Jul-16,222.52,222.75,219.64,220.4,2234247
14-Jul-16,223.12,224.94,221.05,221.53,2675834
13-Jul-16,225.5,225.59,220.29,222.53,3567062
12-Jul-16,224.1,227.5,223.22,224.65,4576165
11-Jul-16,219.96,226.78,219.51,224.78,5429823
08-Jul-16,217.8,219.81,214.5,216.78,4074785
07-Jul-16,213.1,218.12,213.01,215.94,3612022
06-Jul-16,210,215.23,209,214.44,4919855
05-Jul-16,209.73,214.54,208,213.98,5175345
01-Jul-16,206.14,218.24,206,216.5,5399951
30-Jun-16,212.97,213.5,209.02,212.28,4843111
29-Jun-16,205.13,211.78,203,210.19,5994908
28-Jun-16,201.89,204.05,199.41,201.79,6212422
27-Jun-16,190.86,198.81,187.87,198.55,7220323
24-Jun-16,190.05,195.12,189.73,193.15,7026516
23-Jun-16,195.69,197.55,192.13,196.4,10130748
22-Jun-16,199.47,205.95,195.75,196.66,23742414
21-Jun-16,220.68,222.57,218.81,219.61,4529005
20-Jun-16,219.5,223.75,218.23,219.7,3555471
17-Jun-16,217.81,219.99,214.5,215.47,3112620
16-Jun-16,217.42,218.04,213.5,217.93,2440259
15-Jun-16,216.95,221.9,215.13,217.7,2908522
14-Jun-16,218.88,222.2,212.53,214.96,3580167
13-Jun-16,219.5,225.77,217.66,217.87,4193022
10-Jun-16,227.39,227.97,218.42,218.79,6026603
09-Jun-16,234.98,235.33,227.06,229.36,4492075
08-Jun-16,233.8,240.84,232.6,235.52,5971995
07-Jun-16,222.24,234.44,221.52,232.34,6213573
06-Jun-16,218,220.9,215.45,220.68,2249508
03-Jun-16,220,221.94,218.01,218.99,2228970
02-Jun-16,219.59,219.91,217.11,218.96,2032832
01-Jun-16,221.48,222.4,216.89,219.56,2982695
31-May-16,223.04,224.75,221.5,223.23,2789002
27-May-16,224.99,225.93,220.75,223.04,3642740
26-May-16,220.5,225.26,219.05,225.12,4064013
25-May-16,217.91,221.36,216.51,219.58,3126822
24-May-16,216.6,218.74,215.18,217.91,3008774
23-May-16,219.87,222.6,215.86,216.22,5093158
20-May-16,216.99,220.55,216.35,220.28,8951773
19-May-16,213.62,216.79,207.3,215.21,6811976
18-May-16,209.15,215.31,207.75,211.17,5384698
17-May-16,209.05,209.82,204.02,204.66,2841168
16-May-16,208.15,213.15,207.92,208.29,2945072
13-May-16,207.78,211.2,206.7,207.61,2819264
12-May-16,211.44,211.67,203.66,207.28,3646943
11-May-16,207.59,215.48,206.05,208.96,5153730
10-May-16,207.55,209.47,205,208.69,4065214
09-May-16,215.72,216.15,206.8,208.92,4758131
06-May-16,210.87,216.37,208.11,214.93,5681078
05-May-16,228.46,228.64,209.79,211.53,11235835
04-May-16,230.29,234.46,220.4,222.56,8262540
03-May-16,237.36,238.91,231.62,232.32,4289174
02-May-16,241.5,243.19,234.82,241.8,3836429
